# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = area_model
# start_datetime = 2024-02-24 12:43:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = area_data.json
# init = 2 (Default)
# random
#   seed = 3796781396 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mean_a,sd_a
# Adaptation terminated
# Step size = 0.328265
# Diagonal elements of inverse mass matrix:
# 2.22253, 1.28604
0.363181,0.980923,0.328265,2,7,0,0.169567,35.9512,23.4216
0.381915,1,0.328265,4,15,0,-0.324246,16.9578,33.7133
0.634197,1,0.328265,2,3,0,-0.362623,25.0621,30.6401
-0.166116,0.979561,0.328265,2,3,0,0.335694,52.2128,58.6081
-0.563171,0.898084,0.328265,1,1,0,0.576416,68.6036,56.3198
0.397186,1,0.328265,2,3,0,0.558497,32.0458,40.6339
0.163647,0.974218,0.328265,2,3,0,-0.0567748,24.1913,46.2987
0.208741,0.843228,0.328265,2,7,0,0.445056,13.5813,34.1521
0.815264,0.984782,0.328265,2,7,0,0.820412,17.4788,17.7619
0.810648,0.981615,0.328265,3,7,0,-0.685069,14.8443,16.6452
0.498691,0.967085,0.328265,3,11,0,-0.181783,25.6747,16.8636
0.597478,1,0.328265,2,3,0,-0.45536,26.1686,18.6307
0.7729,0.755188,0.328265,2,3,0,0.171079,18.0907,22.3558
0.326252,0.980274,0.328265,2,7,0,0.918088,4.84905,8.83787
0.0927674,0.994927,0.328265,4,15,0,0.0211021,7.3557,5.481
-0.55178,0.799986,0.328265,3,11,0,0.992281,11.7708,51.8817
-1.42407,0.986928,0.328265,2,3,0,1.46994,9.49742,75.7275
0.213407,0.64133,0.328265,3,13,0,2.01854,7.72786,23.0325
-0.182587,0.946684,0.328265,3,7,0,0.215057,3.59495,16.45
-1.47654,0.655098,0.328265,1,3,0,3.01275,1.67202,27.6636
-1.42285,1,0.328265,1,1,0,1.51265,1.74423,27.4185
-0.982964,0.999391,0.328265,2,3,0,1.48499,2.07163,21.88
-0.0852423,0.726894,0.328265,3,11,0,1.54214,3.04291,4.50932
-0.883317,0.987967,0.328265,3,7,0,1.14847,1.92958,1.74214
-0.883317,0.207298,0.328265,1,1,0,2.37216,1.92958,1.74214
-1.17933,0.932987,0.328265,1,1,0,1.1796,2.16481,1.51116
-1.14824,0.969999,0.328265,3,7,0,1.65827,1.15564,1.34491
0.111143,0.96959,0.328265,3,11,0,2.29596,9.33306,29.0478
0.790939,0.937318,0.328265,1,3,0,0.539446,17.6662,21.1437
0.790939,0.0468343,0.328265,1,1,0,1.74257,17.6662,21.1437
-0.237918,0.262649,0.328265,2,3,0,2.71422,5.35891,25.5982
0.383726,0.845186,0.328265,1,3,0,0.499113,7.74007,19.136
-0.275539,0.994015,0.328265,3,15,0,1.30939,2.37631,3.92559
0.315349,0.906282,0.328265,3,11,0,0.765174,4.77024,8.66448
0.272209,0.993847,0.328265,3,15,0,0.23624,22.1303,41.4039
0.278303,0.989783,0.328265,3,7,0,0.365326,17.9881,37.6459
0.422562,0.997185,0.328265,3,7,0,0.0468892,31.5919,39.6074
0.629782,0.989741,0.328265,2,7,0,0.40439,9.58783,9.80667
0.370219,0.967768,0.328265,2,3,0,-0.344482,5.81354,13.38
0.353302,0.988732,0.328265,2,7,0,-0.0484349,25.2612,15.2565
0.788295,0.966629,0.328265,2,7,0,0.00295911,13.2808,16.5707
0.778964,0.994201,0.328265,2,7,0,-0.65458,19.7279,22.7532
0.457592,0.964327,0.328265,1,3,0,-0.221247,13.5269,27.7345
0.518758,0.977961,0.328265,3,7,0,-0.260535,15.103,28.0248
-2.67182,0.906289,0.328265,3,7,0,3.02918,13.9845,174.772
-3.53721,0.491307,0.328265,3,7,0,4.89675,119.349,54.1036
-0.604177,0.748386,0.328265,2,3,0,2.10701,63.186,72.7631
-0.210942,1,0.328265,2,3,0,0.63278,39.956,66.0693
-0.112636,0.938626,0.328265,2,7,0,1.24939,44.2376,23.9878
-0.37209,0.896482,0.328265,3,11,0,1.13209,2.41388,12.1345
-1.45953,0.839245,0.328265,2,7,0,1.93111,3.19458,42.2295
-1.59493,0.99911,0.328265,2,3,0,1.62627,3.1729,45.6521
0.00650355,0.946261,0.328265,3,7,0,1.99995,3.63324,4.61259
-0.293213,0.984832,0.328265,3,7,0,0.735977,4.28605,3.39355
-0.657664,0.943216,0.328265,3,7,0,0.764481,1.44103,5.18517
-0.404059,0.999966,0.328265,2,3,0,0.67534,1.91451,5.58638
-0.363491,1,0.328265,2,3,0,0.410819,2.0054,5.59706
-0.00384599,0.999163,0.328265,2,3,0,0.623562,3.11192,6.16184
-0.28513,0.86368,0.328265,3,11,0,1.06345,7.38514,33.3585
0.519343,0.824579,0.328265,2,7,0,0.75288,6.85429,12.3577
-0.0541701,0.992687,0.328265,3,7,0,0.121553,6.2954,4.65532
-0.0541701,0.225455,0.328265,2,3,0,1.93672,6.2954,4.65532
0.469406,0.848345,0.328265,2,3,0,0.561355,6.98101,7.75697
0.433465,0.99842,0.328265,2,3,0,-0.416712,7.00586,7.31131
0.788251,0.994805,0.328265,2,7,0,-0.286443,12.9346,14.6595
0.697142,0.9709,0.328265,3,7,0,-0.502629,9.86012,14.4589
0.613125,0.997546,0.328265,3,7,0,-0.495064,10.2308,9.63563
0.0660486,0.2674,0.328265,2,3,0,1.63531,4.30181,14.5947
0.474031,0.909856,0.328265,1,3,0,0.329607,6.13807,10.4648
0.594422,0.998815,0.328265,2,3,0,-0.424172,7.68458,10.2648
0.793841,0.999509,0.328265,3,11,0,-0.499628,16.9802,15.8346
0.549235,0.974777,0.328265,2,7,0,-0.0341538,34.3107,29.306
0.549235,0.303012,0.328265,1,1,0,0.430085,34.3107,29.306
0.481187,0.960604,0.328265,3,7,0,-0.0447272,31.5447,21.3469
0.323382,0.21702,0.328265,2,3,0,1.44094,12.0381,28.9609
0.0848823,0.938386,0.328265,3,7,0,1.43091,25.0366,13.5192
0.641319,0.662594,0.328265,2,3,0,1.19974,9.95888,17.1023
0.650744,1,0.328265,2,3,0,-0.627903,9.8652,16.5712
0.761527,1,0.328265,2,3,0,-0.655258,11.5371,13.9224
0.51886,0.98313,0.328265,2,7,0,0.392921,25.7749,35.2088
0.696463,0.931544,0.328265,3,7,0,0.43372,10.2668,11.2152
0.157417,0.984247,0.328265,4,15,0,-0.0267448,5.38014,5.20047
0.157417,0.103446,0.328265,1,1,0,1.68433,5.38014,5.20047
-0.0564061,0.704606,0.328265,2,3,0,1.31302,3.68741,4.13383
0.324419,0.994217,0.328265,3,7,0,0.274666,5.96676,6.36628
0.580754,0.98702,0.328265,3,15,0,0.378566,8.86458,16.5998
-0.326661,0.955764,0.328265,3,11,0,0.617718,2.09883,5.04513
0.403629,0.998167,0.328265,2,7,0,0.72074,5.49268,8.50115
0.478366,0.99976,0.328265,3,15,0,-0.313902,30.6471,37.326
-0.244842,0.980276,0.328265,3,11,0,0.883861,2.6307,3.65585
-0.759569,0.957456,0.328265,3,7,0,0.972944,1.37164,7.77355
-0.350699,0.78755,0.328265,4,15,0,2.9533,4.90864,26.2254
0.289811,0.87642,0.328265,2,5,0,1.0145,19.803,39.0177
0.105343,0.994491,0.328265,3,7,0,0.17857,49.1001,34.8801
0.105343,7.03088e-05,0.328265,1,1,0,2.58314,49.1001,34.8801
0.105343,0.829682,0.328265,1,1,0,0.18405,49.1001,34.8801
-0.482207,0.921044,0.328265,2,3,0,0.542903,22.7805,67.9509
0.527218,0.965556,0.328265,3,7,0,0.842636,33.7511,33.5743
0.205702,0.87827,0.328265,2,7,0,0.518416,9.34176,26.883
0.561461,0.961304,0.328265,4,15,0,0.125012,32.0423,32.7103
-0.132245,0.741628,0.328265,2,3,0,0.798923,18.6676,50.6237
-0.38002,0.985063,0.328265,3,7,0,0.811798,64.0155,47.8419
-0.38002,0.387615,0.328265,1,1,0,1.29483,64.0155,47.8419
-0.216136,1,0.328265,3,7,0,0.502837,52.7853,60.9646
-1.69176,0.956245,0.328265,2,3,0,1.90243,49.5117,156.823
-1.55272,0.903802,0.328265,3,11,0,3.29495,0.554519,2.18531
-1.10441,0.383213,0.328265,2,3,0,3.24448,1.30212,1.38122
-1.18396,0.99557,0.328265,3,7,0,1.26476,1.01729,1.36599
0.235314,0.986948,0.328265,3,7,0,1.43488,4.78422,12.6045
0.737333,0.11908,0.328265,3,9,0,3.83927,21.1027,17.2594
-0.916009,0.396062,0.328265,1,1,0,1.03837,32.1933,13.3876
0.493339,1,0.328265,1,1,0,0.280159,26.1177,17.1138
-0.279351,0.694222,0.328265,2,3,0,0.641317,38.1514,18.6913
0.792681,1,0.328265,2,3,0,0.0355236,21.1916,20.8813
-0.420047,0.974405,0.328265,3,15,0,0.520106,2.51744,2.80183
0.307968,0.981552,0.328265,3,7,0,0.709537,5.37651,13.3429
0.5433,0.994399,0.328265,3,7,0,-0.0710241,21.8737,14.8153
-0.0154352,0.995516,0.328265,3,7,0,0.110135,3.06101,7.34597
-0.0839273,0.996593,0.328265,3,7,0,0.216022,4.40687,4.0065
-1.5196,0.969273,0.328265,3,15,0,2.64452,0.687482,1.02896
-1.85339,1,0.328265,2,3,0,1.86873,0.558225,0.666934
-0.178352,0.820426,0.328265,3,11,0,4.16884,12.3053,42.2175
-0.327528,0.83485,0.328265,1,3,0,2.55662,29.2176,67.582
0.228621,0.982177,0.328265,3,9,0,2.08695,8.6727,6.47143
-0.533064,0.866282,0.328265,3,7,0,0.677276,1.94996,11.0299
0.183676,0.866116,0.328265,3,15,0,0.414473,12.6592,7.98817
0.64215,0.754334,0.328265,4,15,0,0.63771,24.1155,30.1501
-0.477354,0.982007,0.328265,3,11,0,0.698631,2.12841,2.77663
-0.325471,0.974543,0.328265,2,7,0,1.00805,5.32334,3.69204
-0.325471,0.181145,0.328265,1,1,0,1.44465,5.32334,3.69204
-1.63431,0.498075,0.328265,2,3,0,2.08368,8.4048,3.55232
-1.63431,0.266071,0.328265,1,1,0,3.26875,8.4048,3.55232
-1.20731,1,0.328265,3,7,0,1.46432,1.13332,14.2403
-1.49876,0.563768,0.328265,3,15,0,2.76999,1.4993,25.8583
-1.55535,0.999682,0.328265,2,3,0,1.78718,1.20365,22.5443
-0.487103,0.306025,0.328265,3,7,0,3.4776,3.53013,22.4351
0.434146,0.68144,0.328265,2,3,0,1.6322,32.3767,21.277
-0.173497,0.999441,0.328265,4,15,0,0.242439,33.9321,63.5278
-0.639834,0.972004,0.328265,2,3,0,0.82457,18.7697,68.5437
-0.663416,0.997891,0.328265,2,3,0,0.957176,20.2549,71.8
-0.963498,0.991494,0.328265,3,9,0,2.75453,4.92195,2.73878
-0.578256,0.478105,0.328265,2,3,0,2.96191,1.61659,3.44983
-2.3272,0.997143,0.328265,4,15,0,3.00143,0.315315,0.44277
-2.31157,1,0.328265,2,3,0,2.33325,0.32751,0.440906
-1.3903,0.967879,0.328265,3,11,0,2.92982,0.957016,1.03857
-1.55903,0.999793,0.328265,3,7,0,1.88512,0.720283,0.91508
-0.513808,0.958915,0.328265,3,7,0,2.24818,1.92788,2.8388
-0.189316,0.987546,0.328265,3,7,0,0.772346,2.46558,6.3809
0.577884,0.99977,0.328265,3,7,0,0.448924,20.8026,14.4981
0.718552,0.855849,0.328265,2,7,0,0.153034,10.3317,14.5098
0.4307,0.948654,0.328265,1,3,0,-0.231777,8.02734,18.6999
0.628945,0.968219,0.328265,2,3,0,-0.301039,20.2545,14.7337
0.387332,0.937405,0.328265,3,7,0,-0.31889,23.8282,14.6594
0.387332,0.0277087,0.328265,2,3,0,1.85275,23.8282,14.6594
0.173332,0.881534,0.328265,2,7,0,1.01205,4.18368,10.9589
0.549732,1,0.328265,2,3,0,-0.17788,7.22674,9.26305
0.549732,0.498029,0.328265,1,1,0,1.64324,7.22674,9.26305
-0.65515,0.990795,0.328265,3,11,0,0.704696,1.72272,2.36342
0.150985,0.982654,0.328265,3,11,0,1.14149,7.6611,24.2569
0.682138,0.354321,0.328265,2,3,0,1.61377,12.3704,11.1866
0.641875,1,0.328265,2,7,0,-0.595749,8.5912,10.642
0.397612,0.969931,0.328265,3,15,0,0.0683674,18.4796,34.7332
0.607812,0.999704,0.328265,3,7,0,-0.338682,17.9871,28.2043
0.6095,0.985371,0.328265,3,11,0,-0.367472,10.8484,9.75207
0.351931,0.992721,0.328265,2,7,0,0.37953,7.27948,6.65272
0.340089,0.972253,0.328265,3,7,0,-0.0961276,5.08718,7.46869
0.424814,0.996318,0.328265,3,7,0,-0.227726,8.70496,7.50108
0.424814,0.979021,0.328265,1,1,0,-0.360933,8.70496,7.50108
0.0217841,0.933186,0.328265,3,11,0,0.677821,12.298,36.9105
-0.919773,0.459657,0.328265,3,7,0,1.12923,5.08994,40.1361
-0.029286,0.591997,0.328265,3,7,0,1.4045,7.9578,5.35907
0.234299,1,0.328265,3,7,0,0.0164807,5.10787,14.1852
0.590849,0.990706,0.328265,3,11,0,0.178398,8.60283,15.6071
0.708285,0.994373,0.328265,1,3,0,-0.39242,10.0541,11.8666
0.379506,0.96795,0.328265,3,15,0,0.174393,19.6233,12.2522
-0.788829,1,0.328265,3,7,0,1.26734,1.24357,3.99539
0.811762,0.994245,0.328265,3,15,0,1.05403,18.3857,19.6293
-0.991454,0.778086,0.328265,3,7,0,1.2481,42.2968,17.6065
-2.07194,1,0.328265,2,5,0,2.92711,37.3421,186.246
-2.41463,0.991804,0.328265,2,3,0,2.65428,77.0321,196.083
-1.69023,1,0.328265,2,3,0,2.74493,75.8989,130.899
-1.46069,1,0.328265,3,7,0,1.67863,64.8268,128.605
-1.02634,0.974874,0.328265,2,3,0,2.01342,41.7415,108.559
0.180062,0.930402,0.328265,4,15,0,4.00736,4.98321,15.0157
-0.611833,0.721751,0.328265,1,3,0,1.26332,3.13375,22.615
-2.71219,0.649239,0.328265,3,11,0,4.3126,5.40361,111.791
-2.1732,0.91891,0.328265,3,7,0,4.14045,69.2287,185.229
-2.26842,0.983224,0.328265,1,1,0,2.33397,73.4171,187.866
-0.963964,1,0.328265,3,7,0,3.30243,29.6232,97.6316
-1.99068,0.927624,0.328265,2,7,0,2.42754,24.3062,156.614
0.581955,0.999767,0.328265,3,7,0,3.03791,32.346,25.7549
0.753228,0.991346,0.328265,2,7,0,-0.095375,11.9991,16.5164
0.755199,0.999744,0.328265,2,5,0,-0.689949,11.3366,14.5285
0.727821,0.995683,0.328265,3,7,0,-0.702913,11.1653,16.1559
0.319041,0.98319,0.328265,3,7,0,-0.0712953,5.1616,6.79151
0.206013,0.987224,0.328265,2,3,0,-0.118344,4.08814,8.22801
-1.32633,0.992357,0.328265,3,15,0,1.74749,1.19886,1.10796
-0.381528,0.913924,0.328265,3,11,0,2.26071,2.99495,16.9669
-0.0168571,0.565348,0.328265,3,15,0,2.3993,3.06618,7.61738
-1.13718,0.993754,0.328265,3,7,0,1.35296,0.854045,3.30713
-1.35534,0.92506,0.328265,3,7,0,2.08217,6.06456,2.88401
-0.0966573,1,0.328265,2,3,0,0.949183,4.10385,3.91778
0.652518,0.901187,0.328265,3,11,0,1.72482,11.3662,10.4438
0.798672,0.998975,0.328265,2,7,0,-0.565168,14.5316,14.9377
-0.0583848,0.933525,0.328265,2,7,0,0.632899,3.5655,13.4489
0.283152,0.994775,0.328265,3,11,0,0.702447,35.7414,21.9145
-0.260462,0.716466,0.328265,2,3,0,0.517752,42.2828,21.3007
-0.176136,1,0.328265,2,5,0,1.00192,35.766,64.1154
0.400567,0.998832,0.328265,3,7,0,0.25745,34.4309,40.1138
0.253612,0.984259,0.328265,2,3,0,-0.049755,44.5647,32.9153
0.513879,0.966335,0.328265,3,7,0,0.256633,31.2366,35.6545
0.726214,0.998936,0.328265,3,7,0,-0.493987,24.5968,25.9592
0.487533,0.993682,0.328265,3,9,0,-0.370438,6.487,8.57457
-0.236992,0.955527,0.328265,2,5,0,0.608895,4.04504,19.9723
0.661453,0.754099,0.328265,2,3,0,0.604817,18.9319,14.3068
-2.14863,0.111057,0.328265,3,15,0,4.01144,0.410059,12.6757
-2.01988,0.857108,0.328265,2,7,0,3.10849,0.637543,19.1402
-1.55504,0.707222,0.328265,2,7,0,4.06075,0.627281,8.52536
0.551935,1,0.328265,3,15,0,1.05599,14.563,10.7985
0.64501,1,0.328265,2,3,0,-0.566742,13.6818,11.2472
0.535762,0.980309,0.328265,3,11,0,-0.374216,14.0612,26.3598
0.801419,0.984704,0.328265,1,3,0,-0.252379,20.0687,19.3927
-1.49646,0.756268,0.328265,3,7,0,1.69653,4.34963,51.7412
-0.542353,0.99914,0.328265,3,7,0,1.82372,7.31133,39.3899
-0.322444,0.968039,0.328265,2,7,0,0.714231,10.0481,41.3045
-0.873809,0.991882,0.328265,2,3,0,0.97701,7.10493,47.5332
-1.28143,0.994493,0.328265,2,3,0,1.45095,6.96427,59.4733
-1.44799,0.785864,0.328265,2,7,0,1.61917,8.20035,71.1104
-0.401511,0.477764,0.328265,3,7,0,1.82866,11.8531,47.579
-1.59837,0.572204,0.328265,3,7,0,2.49387,2.40863,38.6623
-1.28941,0.999626,0.328265,2,3,0,1.74961,2.55664,32.7843
0.431099,0.427947,0.328265,3,7,0,1.92562,38.3021,35.1616
0.32241,0.979325,0.328265,1,1,0,-0.320277,42.7491,35.5953
