# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mean_sd_model
# start_datetime = 2024-02-24 12:01:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = mean_sd_data.json
# init = 2 (Default)
# random
#   seed = 3794250660 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mean_x,mean_y,sigma_x,sigma_y
# Adaptation terminated
# Step size = 0.362684
# Diagonal elements of inverse mass matrix:
# 0.207654, 0.16358, 0.207514, 0.240474
-1.83764,0.668287,0.362684,3,7,0,4.12454,2.06976,4.53121,1.25341,0.870841
-0.0510203,1,0.362684,3,7,0,2.5468,1.64308,4.26826,0.965348,0.456315
0.168245,0.991827,0.362684,3,7,0,0.737354,1.8473,4.16332,0.841261,0.671112
0.541129,0.981472,0.362684,2,7,0,1.32576,2.1333,4.50494,0.54071,0.590855
0.0319389,0.94809,0.362684,3,7,0,1.10882,2.43876,4.09454,0.984085,0.418699
-0.58073,0.965232,0.362684,2,3,0,0.745797,2.46433,4.38788,1.08374,0.423348
-1.92084,0.957811,0.362684,3,15,0,3.28724,1.74113,4.06749,1.48679,0.772418
-0.126394,0.982081,0.362684,3,15,0,2.83749,2.44419,4.09245,0.877435,0.660502
-2.08698,0.913027,0.362684,3,7,0,3.52753,1.8938,3.8786,1.45702,0.448312
-2.11568,0.984197,0.362684,2,3,0,3.11766,1.85682,3.90023,1.62972,0.567065
-1.8926,1,0.362684,2,3,0,2.25175,1.8258,3.94878,1.62496,0.527817
-4.88122,0.980393,0.362684,3,7,0,5.75904,0.42696,4.38075,1.30925,0.441841
-7.05504,0.734006,0.362684,2,3,0,9.39088,0.300097,3.97298,1.10664,0.452452
-4.55556,0.987004,0.362684,2,3,0,8.37962,0.381448,4.4161,2.4514,0.54799
-4.21492,0.936981,0.362684,3,7,0,7.36959,0.389602,4.30017,2.15518,0.363268
-5.87809,0.970351,0.362684,3,15,0,6.82466,-0.648076,4.21167,2.93905,0.541383
-7.47294,0.972745,0.362684,4,19,0,8.6113,-1.36456,4.26691,4.35894,0.333657
-8.08284,0.916772,0.362684,3,7,0,9.07343,-1.56335,4.35705,5.74237,0.440565
-7.66984,0.975166,0.362684,3,7,0,10.13,-0.663086,4.00173,5.63695,0.49831
-5.5051,0.992915,0.362684,4,15,0,8.22427,0.0509911,4.45125,1.77217,0.503539
-5.16754,0.900738,0.362684,3,7,0,7.65693,0.761927,3.82383,2.75758,0.675719
-7.76511,0.955126,0.362684,3,7,0,8.77902,0.364392,3.60651,1.17897,0.772143
-6.28762,1,0.362684,3,7,0,8.35567,0.502861,3.52534,1.69928,1.00066
-6.89858,0.931769,0.362684,3,7,0,8.38599,1.13561,3.93006,2.31352,1.83118
-7.77476,0.991399,0.362684,4,15,0,10.1122,0.957511,2.77925,1.12667,1.44418
-7.84114,0.995392,0.362684,3,7,0,9.24075,0.943774,3.11466,1.82659,2.2371
-11.9061,0.874608,0.362684,4,15,0,14.2999,1.65546,3.36594,8.08157,1.01658
-6.74161,0.940451,0.362684,3,7,0,12.72,1.04913,3.47902,2.53072,1.35323
-1.68356,0.941807,0.362684,3,7,0,6.49338,1.37012,4.40792,0.879137,0.392637
-0.42145,0.659394,0.362684,2,3,0,4.42464,1.64639,4.33593,0.886252,0.361814
0.577542,0.98775,0.362684,3,7,0,0.904998,2.09488,4.14169,0.935975,0.491928
-0.0347413,0.987527,0.362684,3,7,0,0.171279,2.09353,4.34208,1.05965,0.549263
1.18324,0.975045,0.362684,3,7,0,0.922343,1.96926,4.13326,0.550578,0.38372
1.23644,0.968987,0.362684,2,3,0,-0.649941,1.96672,4.27414,0.551025,0.409657
0.796251,0.782618,0.362684,1,3,0,1.85232,1.97348,3.96879,0.56551,0.530454
0.519404,0.976562,0.362684,3,7,0,0.799577,2.07638,4.29996,0.428818,0.704745
-2.40333,0.811365,0.362684,2,3,0,5.37925,2.09263,3.51471,0.493027,0.56404
-1.35304,1,0.362684,3,7,0,2.93066,2.25559,3.64497,0.52183,0.559708
0.309895,1,0.362684,3,7,0,1.92981,2.22436,4.52053,0.628641,0.58446
-0.124933,0.708424,0.362684,3,7,0,2.40946,2.10211,4.15577,0.546644,0.266562
-0.317165,0.982677,0.362684,3,7,0,1.29937,2.05534,4.07704,0.844583,0.858358
-0.344929,0.973224,0.362684,3,7,0,1.94134,1.81433,3.83557,0.587138,0.551144
1.0178,0.839248,0.362684,2,3,0,3.39554,2.23109,4.06646,0.629477,0.548644
-0.618881,0.951468,0.362684,3,7,0,0.786253,1.8327,4.28863,0.800203,0.909501
-0.355249,0.973066,0.362684,3,7,0,2.2971,2.04805,4.56128,0.395879,0.689236
-0.0909424,0.826857,0.362684,3,7,0,5.09731,2.05303,4.09379,0.385643,0.775864
-1.07516,0.784569,0.362684,3,7,0,2.78206,2.49074,4.46084,1.18943,0.539452
-0.699209,0.991402,0.362684,3,7,0,2.01885,2.33074,4.58719,0.872514,0.612186
-0.894682,0.997563,0.362684,3,7,0,2.51128,2.48962,3.88416,0.997793,0.539571
-2.27593,0.928203,0.362684,3,7,0,4.14109,1.60845,4.43292,1.76572,0.544398
0.285557,0.989036,0.362684,3,7,0,2.90739,2.23501,3.98413,0.861588,0.490447
-2.21585,0.939129,0.362684,3,7,0,3.75353,1.63344,4.26208,2.03598,0.4432
0.256945,0.897213,0.362684,3,7,0,6.02312,1.69452,4.15632,0.860094,0.409443
-1.67934,0.940751,0.362684,3,7,0,2.20752,1.2354,4.27139,0.880766,0.420992
-2.03591,0.945045,0.362684,3,15,0,3.38215,2.82822,4.01876,0.760383,0.726847
